se_type,keyword,location_code,language_code,keyword_info,keyword_info_normalized_with_bing,keyword_info_normalized_with_clickstream,clickstream_keyword_info,keyword_properties,serp_info,avg_backlinks_info,search_intent_info,search_volume,cpc,competition,competition_level,monthly_searches,source,seed_term,depth,related_keywords,keyword_se_type,keyword_last_updated_time,keyword_competition,keyword_competition_level,keyword_cpc,keyword_search_volume,keyword_low_top_of_page_bid,keyword_high_top_of_page_bid,keyword_categories,keyword_monthly_searches,keyword_search_volume_trend,keyword_location_code,keyword_language_code,keyword_keyword_info_normalized_with_bing,keyword_keyword_info_normalized_with_clickstream,keyword_clickstream_keyword_info,keyword_keyword_properties,keyword_serp_info,keyword_avg_backlinks_info,keyword_search_intent_info,categories,keyword_difficulty,main_intent,foreign_intent,cluster_id,cluster_name,category_cluster,difficulty_tier,recommended_match_type
google,car mortgage calculator canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 04:31:19 +00:00', 'competition': 0.36, 'competition_level': 'MEDIUM', 'cpc': 1.19, 'search_volume': 18100, 'low_top_of_page_bid': 0.23, 'high_top_of_page_bid': 1.67, 'categories': [10012, 10097, 11841, 12957, 13285], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 18100}, {'year': 2025, 'month': 5, 'search_volume': 18100}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 22200}, {'year': 2025, 'month': 2, 'search_volume': 18100}, {'year': 2025, 'month': 1, 'search_volume': 18100}, {'year': 2024, 'month': 12, 'search_volume': 18100}, {'year': 2024, 'month': 11, 'search_volume': 18100}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 18100}, {'year': 2024, 'month': 7, 'search_volume': 22200}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 20, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 1059, 'dofollow': 872.6, 'referring_pages': 1024.6, 'referring_domains': 23.7, 'referring_main_domains': 22.9, 'rank': 167.3, 'main_domain_rank': 413.8, 'last_updated_time': '2024-10-13 19:28:11 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-05-30 00:15:56 +00:00'}",18100.0,1.19,0.36,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 18100}, {'year': 2025, 'month': 5, 'search_volume': 18100}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 22200}, {'year': 2025, 'month': 2, 'search_volume': 18100}, {'year': 2025, 'month': 1, 'search_volume': 18100}, {'year': 2024, 'month': 12, 'search_volume': 18100}, {'year': 2024, 'month': 11, 'search_volume': 18100}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 18100}, {'year': 2024, 'month': 7, 'search_volume': 22200}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12957, 13285]",20.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Easy,Phrase
google,royal bank canada mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 06:01:06 +00:00', 'competition': 0.59, 'competition_level': 'MEDIUM', 'cpc': 5.92, 'search_volume': 9900, 'low_top_of_page_bid': 2.25, 'high_top_of_page_bid': 8.5, 'categories': [10012, 10097, 11841, 12960], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 27, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 2635.9, 'dofollow': 2165, 'referring_pages': 2522, 'referring_domains': 186.4, 'referring_main_domains': 175.5, 'rank': 185.5, 'main_domain_rank': 461.8, 'last_updated_time': '2025-07-28 04:05:07 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-09-01 01:39:38 +00:00'}",9900.0,5.92,0.59,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960]",27.0,navigational,,1,bank + companies + mortgage companies,Uncategorized,Easy,Phrase
google,cibc canada mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-19 08:57:20 +00:00', 'competition': 0.64, 'competition_level': 'MEDIUM', 'cpc': 5.53, 'search_volume': 6600, 'low_top_of_page_bid': 2.64, 'high_top_of_page_bid': 10.76, 'categories': [10003, 10012, 10097, 11841, 12960], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 5400}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 5400}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 6600}, {'year': 2024, 'month': 9, 'search_volume': 6600}, {'year': 2024, 'month': 8, 'search_volume': 5400}, {'year': 2024, 'month': 7, 'search_volume': 5400}], 'search_volume_trend': {'monthly': -18, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 17, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 491.4, 'dofollow': 383.5, 'referring_pages': 486.2, 'referring_domains': 40.2, 'referring_main_domains': 35.1, 'rank': 142.6, 'main_domain_rank': 441, 'last_updated_time': '2024-09-30 20:50:39 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-06 01:30:54 +00:00'}",6600.0,5.53,0.64,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 5400}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 5400}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 6600}, {'year': 2024, 'month': 9, 'search_volume': 6600}, {'year': 2024, 'month': 8, 'search_volume': 5400}, {'year': 2024, 'month': 7, 'search_volume': 5400}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960]",17.0,navigational,['informational'],7,canada mortgage + royal bank + corporation,Uncategorized,Easy,Exact
google,reverse mortgage canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-20 11:12:23 +00:00', 'competition': 0.71, 'competition_level': 'HIGH', 'cpc': 12.9, 'search_volume': 3600, 'low_top_of_page_bid': 2.99, 'high_top_of_page_bid': 15.03, 'categories': [10012, 10097, 11841, 12960, 13290], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 4400}, {'year': 2025, 'month': 5, 'search_volume': 4400}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 4400}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 3600}, {'year': 2024, 'month': 7, 'search_volume': 4400}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 28, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 884.1, 'dofollow': 361.2, 'referring_pages': 394.7, 'referring_domains': 147.4, 'referring_main_domains': 111.6, 'rank': 186.3, 'main_domain_rank': 406.8, 'last_updated_time': '2025-07-28 18:34:31 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-06 00:06:46 +00:00'}",3600.0,12.9,0.71,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 4400}, {'year': 2025, 'month': 5, 'search_volume': 4400}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 4400}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 3600}, {'year': 2024, 'month': 7, 'search_volume': 4400}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13290]",28.0,navigational,['informational'],14,reverse mortgage + reverse + mortgage canada,Uncategorized,Easy,Exact
google,canada reverse mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-15 23:44:32 +00:00', 'competition': 0.71, 'competition_level': 'HIGH', 'cpc': 12.9, 'search_volume': 3600, 'low_top_of_page_bid': 2.99, 'high_top_of_page_bid': 15.03, 'categories': [10012, 10097, 11841, 12960, 13290], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 4400}, {'year': 2025, 'month': 5, 'search_volume': 4400}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 4400}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 3600}, {'year': 2024, 'month': 7, 'search_volume': 4400}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'reverse mortgage canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 22, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 301.4, 'dofollow': 192.5, 'referring_pages': 208.3, 'referring_domains': 87, 'referring_main_domains': 64.5, 'rank': 154.4, 'main_domain_rank': 398.5, 'last_updated_time': '2025-06-13 21:35:01 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-03 18:13:09 +00:00'}",3600.0,12.9,0.71,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 4400}, {'year': 2025, 'month': 5, 'search_volume': 4400}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 4400}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 3600}, {'year': 2024, 'month': 7, 'search_volume': 4400}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13290]",22.0,navigational,['informational'],14,reverse mortgage + reverse + mortgage canada,Uncategorized,Easy,Exact
google,reverse mortgage in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-17 19:40:58 +00:00', 'competition': 0.71, 'competition_level': 'HIGH', 'cpc': 12.9, 'search_volume': 3600, 'low_top_of_page_bid': 2.99, 'high_top_of_page_bid': 15.03, 'categories': [10012, 10097, 11841, 12960, 13290], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 4400}, {'year': 2025, 'month': 5, 'search_volume': 4400}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 4400}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 3600}, {'year': 2024, 'month': 7, 'search_volume': 4400}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'reverse mortgage canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 28, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 259.4, 'dofollow': 180.5, 'referring_pages': 196.6, 'referring_domains': 81.1, 'referring_main_domains': 62.2, 'rank': 133.7, 'main_domain_rank': 389.7, 'last_updated_time': '2024-10-01 23:51:48 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-06 00:06:46 +00:00'}",3600.0,12.9,0.71,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 4400}, {'year': 2025, 'month': 5, 'search_volume': 4400}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 4400}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 3600}, {'year': 2024, 'month': 7, 'search_volume': 4400}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13290]",28.0,navigational,['informational'],14,reverse mortgage + reverse + mortgage canada,Uncategorized,Easy,Phrase
google,canada mortgage and housing,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-15 00:29:21 +00:00', 'competition': 0.1, 'competition_level': 'LOW', 'cpc': 3.64, 'search_volume': 2900, 'low_top_of_page_bid': 1.58, 'high_top_of_page_bid': 5.61, 'categories': [10003, 10012, 10097, 11841, 12960, 13291, 13299], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}], 'search_volume_trend': {'monthly': -19, 'quarterly': -19, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 22, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 32711.5, 'dofollow': 30566.6, 'referring_pages': 30745.9, 'referring_domains': 458, 'referring_main_domains': 422, 'rank': 142.8, 'main_domain_rank': 690.3, 'last_updated_time': '2024-09-29 18:49:01 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 18:12:44 +00:00'}",2900.0,3.64,0.1,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13291, 13299]",22.0,navigational,,16,housing + mortgage housing + corporation,Uncategorized,Easy,Phrase
google,canada mortgage and housing corporation,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-17 14:44:00 +00:00', 'competition': 0.1, 'competition_level': 'LOW', 'cpc': 3.64, 'search_volume': 2900, 'low_top_of_page_bid': 1.58, 'high_top_of_page_bid': 5.61, 'categories': [10003, 10012, 10032, 10042, 10097, 11841, 12960, 13687], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}], 'search_volume_trend': {'monthly': -19, 'quarterly': -19, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 22, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 43179, 'dofollow': 41617.5, 'referring_pages': 41757.2, 'referring_domains': 445, 'referring_main_domains': 413.6, 'rank': 138.4, 'main_domain_rank': 704.9, 'last_updated_time': '2025-07-28 19:26:31 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 18:12:44 +00:00'}",2900.0,3.64,0.1,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10032, 10042, 10097, 11841, 12960, 13687]",22.0,navigational,,16,housing + mortgage housing + corporation,Uncategorized,Easy,Phrase
google,canada mortgage and housing corp,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-18 04:43:26 +00:00', 'competition': 0.1, 'competition_level': 'LOW', 'cpc': 3.64, 'search_volume': 2900, 'low_top_of_page_bid': 1.58, 'high_top_of_page_bid': 5.61, 'categories': [10003, 10032, 10042, 13687], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}], 'search_volume_trend': {'monthly': -19, 'quarterly': -19, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 19, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 32705.9, 'dofollow': 30556.9, 'referring_pages': 30740.4, 'referring_domains': 457.1, 'referring_main_domains': 421.3, 'rank': 129.1, 'main_domain_rank': 671.7, 'last_updated_time': '2024-10-06 04:43:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 18:12:44 +00:00'}",2900.0,3.64,0.1,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10032, 10042, 13687]",19.0,navigational,,16,housing + mortgage housing + corporation,Uncategorized,Easy,Phrase
google,canada housing and mortgage corporation,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-20 19:25:57 +00:00', 'competition': 0.1, 'competition_level': 'LOW', 'cpc': 3.64, 'search_volume': 2900, 'low_top_of_page_bid': 1.58, 'high_top_of_page_bid': 5.61, 'categories': [10018, 10160, 10827], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}], 'search_volume_trend': {'monthly': -19, 'quarterly': -19, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': 'canada mortgage and housing corporation', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 21, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 39816.7, 'dofollow': 37453.1, 'referring_pages': 37629.1, 'referring_domains': 469.5, 'referring_main_domains': 432.1, 'rank': 142, 'main_domain_rank': 621.6, 'last_updated_time': '2024-11-28 01:10:56 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 18:12:28 +00:00'}",2900.0,3.64,0.1,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10018, 10160, 10827]",21.0,navigational,,16,housing + mortgage housing + corporation,Uncategorized,Easy,Phrase
